ENTREZID,SYMBOL,GENENAME
1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2
2328,FMO3,flavin containing dimethylaniline monoxygenase 3
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
2252,FGF7,fibroblast growth factor 7
84818,IL17RC,interleukin 17 receptor C
2205,FCER1A,Fc fragment of IgE receptor Ia
54360,CYTL1,cytokine like 1
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
2353,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
1958,EGR1,early growth response 1
753,LDLRAD4,low density lipoprotein receptor class A domain containing 4
810,CALML3,calmodulin like 3
9229,DLGAP1,DLG associated protein 1
24147,FJX1,four-jointed box kinase 1
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
9518,GDF15,growth differentiation factor 15
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
467,ATF3,activating transcription factor 3
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
150094,SIK1,salt inducible kinase 1
51669,SARAF,store-operated calcium entry associated regulatory factor
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
8553,BHLHE40,basic helix-loop-helix family member e40
3428,IFI16,interferon gamma inducible protein 16
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
84818,IL17RC,interleukin 17 receptor C
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
3726,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit"
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
7538,ZFP36,ZFP36 ring finger protein
2205,FCER1A,Fc fragment of IgE receptor Ia
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
3725,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
56892,TCIM,transcriptional and immune response regulator
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
4929,NR4A2,nuclear receptor subfamily 4 group A member 2
84818,IL17RC,interleukin 17 receptor C
810,CALML3,calmodulin like 3
24147,FJX1,four-jointed box kinase 1
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
10418,SPON1,spondin 1
6351,CCL4,C-C motif chemokine ligand 4
810,CALML3,calmodulin like 3
24147,FJX1,four-jointed box kinase 1
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
6348,CCL3,C-C motif chemokine ligand 3
79572,ATP13A3,ATPase 13A3
84818,IL17RC,interleukin 17 receptor C
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
6349,CCL3L1,C-C motif chemokine ligand 3 like 1
414062,CCL3L3,C-C motif chemokine ligand 3 like 3
84818,IL17RC,interleukin 17 receptor C
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
